ZONE,Cu,Au,Cu_SK,Au_SK
,,,,
,,,,
2.0,0.071,0.733,0.14271173,0.77714225
2.0,0.071,0.734,0.10506095,0.76753502
2.0,0.071,0.734,0.08447049,0.76230725
2.0,0.071,0.734,0.07428891,0.75948648
2.0,0.071,0.734,0.07122908,0.76028419
2.0,0.071,0.734,0.0704311,0.76413994
2.0,0.071,0.734,0.07120441,0.77157903
2.0,0.071,0.735,0.07390285,0.77952837
2.0,0.071,0.735,0.07982254,0.7863916
2.0,0.071,0.735,0.09205488,0.79060828
2.0,0.071,0.735,0.11798996,0.78961754
2.0,0.072,0.735,0.17188276,0.77823403
2.0,0.072,0.736,0.2857044,0.71953295
2.0,0.493,0.614,0.2915571,0.72586932
2.0,0.493,0.614,0.41390175,0.78241764
2.0,0.493,0.614,0.49012612,1.63566475
2.0,0.586,2.646,0.51388497,1.62746478
2.0,0.586,2.646,0.5486804,2.49558371
2.0,0.586,2.647,0.56378608,2.6433496
2.0,0.586,2.647,0.56853921,2.83299166
2.0,0.586,2.647,0.56560257,4.11980306
2.0,0.567,5.64,0.56347227,4.12013206
2.0,0.567,5.64,0.55333827,5.3963271
2.0,0.567,5.641,0.53383756,5.41140749
,,,,
,,,,
2.0,0.441,0.264,0.4175161,1.30323265
2.0,0.441,0.264,0.42782961,0.44481854
2.0,0.441,0.264,0.43363122,0.29453807
2.0,0.441,0.264,0.43691527,0.2688238
2.0,0.441,0.264,0.43877057,0.2647232
2.0,0.441,0.264,0.43982187,0.26444391
2.0,0.441,0.264,0.44042997,0.26597228
2.0,0.441,0.264,0.44079952,0.27746813
2.0,0.441,0.264,0.44105295,0.34867266
2.0,0.441,0.264,0.44128397,0.76008294
2.0,0.441,0.925,0.44156135,1.55927954
2.0,0.442,0.925,0.44159461,6.38354036
2.0,0.442,11.993,0.44183142,6.43711727
2.0,0.442,11.999,0.44196293,10.99851349
2.0,0.442,12.001,0.44203901,11.80871964
2.0,0.442,12.013,0.44206998,11.9583811
2.0,0.442,12.031,0.44208302,11.99115094
2.0,0.442,12.035,0.44206415,12.0129856
2.0,0.442,12.071,0.44202365,11.98512193
2.0,0.442,12.101,0.44194886,11.7540853
2.0,0.442,12.103,0.44180024,10.34404293
2.0,0.442,8.634,0.44153346,10.35109062
2.0,0.442,8.637,0.44105914,8.92695536
2.0,0.443,8.638,0.43982567,8.68027355
2.0,0.443,8.639,0.4378772,8.63883196
2.0,0.443,8.645,0.43414567,8.61754922
2.0,0.443,8.648,0.42741759,8.52640866
2.0,0.443,8.648,0.41544584,7.99790568
2.0,0.443,8.654,0.39417172,4.96572932
2.0,0.344,1.284,0.39467197,4.96696485
2.0,0.345,1.284,0.37359617,1.93697919
2.0,0.345,1.285,0.36253966,1.40448717
2.0,0.345,1.286,0.35734997,1.31165652
2.0,0.345,1.286,0.35630113,1.2962067
2.0,0.345,1.286,0.35902776,1.29416414
2.0,0.345,1.287,0.3664246,1.29472407
2.0,0.345,1.287,0.38099834,1.29891757
2.0,0.345,1.287,0.4076283,1.32272787
2.0,0.345,1.287,0.45529183,1.45868665
2.0,0.345,1.288,0.54003687,2.23068055
2.0,0.737,3.164,0.53905353,2.23138927
